accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,missing_cells,mechanism
0.9713333333333334,0.5909090909090909,0.5098039215686274,0.5473684210526316,0.4708366435171684,1431,18,25,26,0.3,102,2252,MCAR-style synthetic
0.968,0.5283018867924528,0.5490196078431373,0.5384615384615384,0.5484278524402482,1424,25,23,28,0.3,103,2233,MCAR-style synthetic
0.9746666666666667,0.6585365853658537,0.5294117647058824,0.5869565217391305,0.5562046308614659,1435,14,24,27,0.3,104,2266,MCAR-style synthetic
0.97,0.5714285714285714,0.47058823529411764,0.5161290322580645,0.4849303432920921,1431,18,27,24,0.3,105,2213,MCAR-style synthetic
0.9673333333333334,0.5208333333333334,0.49019607843137253,0.5050505050505051,0.4668216579472444,1426,23,26,25,0.3,106,2250,MCAR-style synthetic
0.97,0.56,0.5490196078431373,0.5544554455445545,0.5143246295020275,1427,22,23,28,0.3,107,2232,MCAR-style synthetic
0.97,0.56,0.5490196078431373,0.5544554455445545,0.4732155393815359,1427,22,23,28,0.3,108,2231,MCAR-style synthetic
0.9706666666666667,0.5714285714285714,0.5490196078431373,0.56,0.48678766520790595,1428,21,23,28,0.3,109,2265,MCAR-style synthetic
0.966,0.5,0.39215686274509803,0.43956043956043955,0.3038231798676751,1429,20,31,20,0.3,110,2313,MCAR-style synthetic
0.97,0.56,0.5490196078431373,0.5544554455445545,0.5504426817937482,1427,22,23,28,0.3,111,2151,MCAR-style synthetic
0.9713333333333334,0.5909090909090909,0.5098039215686274,0.5473684210526316,0.5151106107807049,1431,18,25,26,0.3,112,2243,MCAR-style synthetic
0.9706666666666667,0.5777777777777777,0.5098039215686274,0.5416666666666666,0.5072284720729934,1430,19,25,26,0.3,113,2229,MCAR-style synthetic
0.9693333333333334,0.543859649122807,0.6078431372549019,0.5740740740740741,0.48464723852711683,1423,26,20,31,0.3,114,2263,MCAR-style synthetic
0.9733333333333334,0.627906976744186,0.5294117647058824,0.574468085106383,0.5229716560084711,1433,16,24,27,0.3,115,2274,MCAR-style synthetic
0.972,0.6,0.5294117647058824,0.5625,0.4472784084503447,1431,18,24,27,0.3,116,2242,MCAR-style synthetic
0.9713333333333334,0.5769230769230769,0.5882352941176471,0.5825242718446602,0.5472576725677063,1427,22,21,30,0.3,117,2252,MCAR-style synthetic
0.972,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.46920420780064304,1428,21,21,30,0.3,118,2190,MCAR-style synthetic
0.964,0.46938775510204084,0.45098039215686275,0.46,0.4236680301414551,1423,26,28,23,0.3,119,2254,MCAR-style synthetic
0.972,0.6097560975609756,0.49019607843137253,0.5434782608695652,0.5156023551915925,1433,16,26,25,0.3,120,2270,MCAR-style synthetic
0.9733333333333334,0.6037735849056604,0.6274509803921569,0.6153846153846154,0.5559061667354616,1428,21,19,32,0.3,121,2264,MCAR-style synthetic
0.9706666666666667,0.5777777777777777,0.5098039215686274,0.5416666666666666,0.5291816553005281,1430,19,25,26,0.3,122,2262,MCAR-style synthetic
0.9733333333333334,0.6341463414634146,0.5098039215686274,0.5652173913043478,0.5053457018423282,1434,15,25,26,0.3,123,2253,MCAR-style synthetic
0.9766666666666667,0.6818181818181818,0.5882352941176471,0.631578947368421,0.5951567932961885,1435,14,21,30,0.3,124,2242,MCAR-style synthetic
0.9673333333333334,0.5185185185185185,0.5490196078431373,0.5333333333333333,0.45242590597349824,1423,26,23,28,0.3,125,2302,MCAR-style synthetic
0.9653333333333334,0.4888888888888889,0.43137254901960786,0.4583333333333333,0.3903433846294241,1426,23,29,22,0.3,126,2317,MCAR-style synthetic
0.972,0.6046511627906976,0.5098039215686274,0.5531914893617021,0.46860008398123687,1432,17,25,26,0.3,127,2223,MCAR-style synthetic
0.9633333333333334,0.4583333333333333,0.43137254901960786,0.4444444444444444,0.4053028031286865,1423,26,29,22,0.3,128,2275,MCAR-style synthetic
0.9726666666666667,0.6086956521739131,0.5490196078431373,0.5773195876288659,0.5606301469673171,1431,18,23,28,0.3,129,2221,MCAR-style synthetic
