accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,scale_source
0.9673333333333334,0.5121951219512195,0.8235294117647058,0.631578947368421,0.729028986668833,1409,40,9,42,0.1,110,training standard deviation
0.9633333333333334,0.47435897435897434,0.7254901960784313,0.5736434108527132,0.6872388849464864,1408,41,14,37,0.1,111,training standard deviation
0.9673333333333334,0.5128205128205128,0.7843137254901961,0.6201550387596899,0.6949794998955068,1411,38,11,40,0.1,112,training standard deviation
0.958,0.4318181818181818,0.7450980392156863,0.5467625899280576,0.685564021788273,1399,50,13,38,0.1,113,training standard deviation
0.9586666666666667,0.4367816091954023,0.7450980392156863,0.5507246376811594,0.6403133750151943,1400,49,13,38,0.1,114,training standard deviation
0.9613333333333334,0.4588235294117647,0.7647058823529411,0.5735294117647058,0.6435125594301924,1403,46,12,39,0.1,115,training standard deviation
0.964,0.48148148148148145,0.7647058823529411,0.5909090909090909,0.6545254208768182,1407,42,12,39,0.1,116,training standard deviation
0.958,0.43478260869565216,0.7843137254901961,0.5594405594405595,0.725916173956827,1397,52,11,40,0.1,117,training standard deviation
0.9626666666666667,0.4675324675324675,0.7058823529411765,0.5625,0.693653983939621,1408,41,15,36,0.1,118,training standard deviation
0.9606666666666667,0.45348837209302323,0.7647058823529411,0.5693430656934306,0.6655434096785644,1402,47,12,39,0.1,119,training standard deviation
0.9606666666666667,0.45454545454545453,0.7843137254901961,0.5755395683453237,0.6308301383293429,1401,48,11,40,0.1,120,training standard deviation
0.9573333333333334,0.42168674698795183,0.6862745098039216,0.5223880597014925,0.6360603422908852,1401,48,16,35,0.1,121,training standard deviation
0.9653333333333334,0.4936708860759494,0.7647058823529411,0.6,0.7262678377394616,1409,40,12,39,0.1,122,training standard deviation
0.9613333333333334,0.4567901234567901,0.7254901960784313,0.5606060606060606,0.6597701709484791,1405,44,14,37,0.1,123,training standard deviation
0.9633333333333334,0.47674418604651164,0.803921568627451,0.5985401459854015,0.701699806227464,1404,45,10,41,0.1,124,training standard deviation
0.9673333333333334,0.5125,0.803921568627451,0.6259541984732825,0.7263287253168726,1410,39,10,41,0.1,125,training standard deviation
0.964,0.4810126582278481,0.7450980392156863,0.5846153846153846,0.6824418004971742,1408,41,13,38,0.1,126,training standard deviation
0.9593333333333334,0.4431818181818182,0.7647058823529411,0.5611510791366906,0.6840464544399362,1400,49,12,39,0.1,127,training standard deviation
0.9646666666666667,0.48717948717948717,0.7450980392156863,0.5891472868217055,0.6462327038105546,1409,40,13,38,0.1,128,training standard deviation
0.9633333333333334,0.47619047619047616,0.7843137254901961,0.5925925925925926,0.6821352713742637,1405,44,11,40,0.1,129,training standard deviation
0.95,0.3695652173913043,0.6666666666666666,0.4755244755244755,0.4987795946849025,1391,58,17,34,0.2,100,training standard deviation
0.954,0.3953488372093023,0.6666666666666666,0.49635036496350365,0.5240432637323478,1397,52,17,34,0.2,101,training standard deviation
0.956,0.40963855421686746,0.6666666666666666,0.5074626865671642,0.6133353973329511,1400,49,17,34,0.2,102,training standard deviation
0.952,0.3870967741935484,0.7058823529411765,0.5,0.592782377763926,1392,57,15,36,0.2,103,training standard deviation
